FID,ID_Originak,Team,ID_Transek,ID_Titik,Filename,Latitude,Longitude,Lokasi,URL,Class_1,Class_2,Cluster
1,1,A,T1,D1T1-1,D1T1 (1).JPG,-0.619196485,120.0655085,Tandaigi,https://lh3.googleusercontent.com/d/1dMR78sSPvffsv6nS9OE6nE_Rs5C5gnDy,Terumbu karang,Terumbu karang kondisi baik,7
2,2,A,T1,D1T1-2,D1T1 (2).JPG,-0.619213333,120.0653709,Tandaigi,https://lh3.googleusercontent.com/d/186Ow3hC_7ceRYSqqjVY9eRHvmwt0YOJX,Terumbu karang,Terumbu karang kondisi baik,7
3,3,A,T1,D1T1-3,D1T1 (3).JPG,-0.619293333,120.0653017,Tandaigi,https://lh3.googleusercontent.com/d/1dZEhyF6dKpu4YuzuQTeRpWiLag4cvR9V,Terumbu karang,Bleaching,7
4,4,A,T1,D1T1-4,D1T1 (4).JPG,-0.619336667,120.0652117,Tandaigi,https://lh3.googleusercontent.com/d/1gT3b4iIINccfqjUSll7x6b6O2YNkfs8W,Terumbu karang,Terumbu karang kondisi baik,7
5,5,A,T1,D1T1-5,D1T1 (5).JPG,-0.619356667,120.0651583,Tandaigi,https://lh3.googleusercontent.com/d/14WtLtpP3kLcRuAOWUMVTHsSriPa8dYCx,Terumbu karang,Terumbu karang kondisi baik,7
6,6,A,T1,D1T1-6,D1T1 (6).JPG,-0.619381667,120.0651017,Tandaigi,https://lh3.googleusercontent.com/d/1IpRDalR-sKV0O-TWvfB-NlKuUiCil-EW,Terumbu karang,Terumbu karang kondisi baik,7
7,7,A,T1,D1T1-7,D1T1 (7).JPG,-0.619372296,120.0650167,Tandaigi,https://lh3.googleusercontent.com/d/16Ghz_JJ40zJi4nZFGUbMHjU9M1-5XJ70,Terumbu karang,Terumbu karang kondisi baik,7
8,8,A,T1,D1T1-8,D1T1 (8).JPG,-0.619375,120.0649633,Tandaigi,https://lh3.googleusercontent.com/d/1wsWoxfH9DgxHarJOQ2edqutZh2TEhST2,Terumbu karang,Pecahan karang,7
9,9,A,T1,D1T1-9,D1T1 (9).JPG,-0.619376667,120.0649283,Tandaigi,https://lh3.googleusercontent.com/d/1DhpdVxTmsJNwYtkIuCpbHix6htgxa4my,Substrat terbuka,Pecahan karang,7
10,10,A,T1,D1T1-10,D1T1 (10).JPG,-0.61938,120.0648771,Tandaigi,https://lh3.googleusercontent.com/d/1WvOKNtXv_uWt_2y_uVJUQb86V1o6g1rN,Substrat terbuka,Terumbu karang kondisi baik,7
11,11,A,T1,D1T1-11,D1T1 (11).JPG,-0.619371667,120.064795,Tandaigi,https://lh3.googleusercontent.com/d/1xxL--5BLjauSAfD6gkgo15wm7VHhbgz7,Substrat terbuka,Terumbu karang kondisi baik,7
12,12,A,T1,D1T1-12,D1T1 (12).JPG,-0.619271098,120.0643356,Tandaigi,https://lh3.googleusercontent.com/d/1Jz0YJ5K-mUQv2MGfAUC2kH2qSWWgqdKn,Substrat terbuka,Bleaching,7
13,13,A,T1,D1T1-13,D1T1 (13).JPG,-0.619405,120.0645417,Tandaigi,https://lh3.googleusercontent.com/d/1uT6_2DfE0NdFixwH4W0y79J6vdimavJx,Substrat terbuka,Terumbu karang kondisi baik,7
14,14,A,T1,D1T1-14,D1T1 (14).JPG,-0.619410523,120.064665,Tandaigi,https://lh3.googleusercontent.com/d/1xGca35u3QxCJYU2uxKNADQcOybqvq7hr,Substrat terbuka,Terumbu karang kondisi baik,7
15,15,A,T1,D1T1-15,D1T1 (15).JPG,-0.619521667,120.0647683,Tandaigi,https://lh3.googleusercontent.com/d/1lygrbMbRyWHeJv_WiW4vfgZob0M6y5eU,Substrat terbuka,Terumbu karang kondisi baik,7
16,16,A,T1,D1T1-16,D1T1 (16).JPG,-0.619495,120.06486,Tandaigi,https://lh3.googleusercontent.com/d/1BYUSkJxrw_lkiWyeMl6SELWQoJMiCuA0,Substrat terbuka,Rumput laut,7
17,17,A,T1,D1T1-17,D1T1 (17).JPG,-0.619511507,120.0649467,Tandaigi,https://lh3.googleusercontent.com/d/1jVh_LuLZVOQeg7coceCbGp4fUgjdEBUg,Terumbu karang,Substrat terbuka,7
18,18,A,T1,D1T1-18,D1T1 (18).JPG,-0.619528333,120.0650367,Tandaigi,https://lh3.googleusercontent.com/d/1aJk5oIgEaQyHLb1S9F4XYwgt9VvBjuWu,Terumbu karang,Lamun,7
19,19,A,T1,D1T1-19,D1T1 (19).JPG,-0.619513333,120.0650933,Tandaigi,https://lh3.googleusercontent.com/d/1C0ql80w9xNv3IBrik4cmFUdBaxE-bWZZ,Terumbu karang,Lamun,7
